codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
5701005,DGA,dga_web,Las Melosas,1527,-33.8994,-70.1981,57.0,Rio Maipo,570.0,Rio Maipo Alto,1978-01-03,1984-05-25,2298,-
6011001,DGA,dga_web,Estero De La Cadena Antes Junta Rio Cachapoal,440,-34.1842,-70.8436,60.0,Rio Rapel,600.0,Rio Cachapoal Bajo (Bajo Jta Rio Claro Y E Rapel),2017-01-01,2018-02-04,395,2017-01-01
6003001,DGA,dga_web,Rio Cachapoal 5 Km. Aguas Abajo Junta Cortaderal,1127,-34.3464,-70.3764,60.0,Rio Rapel,600.0,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),2011-01-01,2016-06-29,939,2011-01-01
6000003,DGA,dga_web,Rio Las Leas Ante Junta Rio Cachapoal,1296,-34.3628,-70.3056,60.0,Rio Rapel,600.0,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),2015-01-01,2018-02-04,1051,2015-01-01
6000004,DGA,dga_web,Laguna El Yeso,2140,-34.4078,-70.21,60.0,Rio Rapel,600.0,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),2016-12-01,2018-01-20,342,2016-12-01
6015003,DGA,dga_web,Rengo,310,-34.4217,-70.8667,60.0,Rio Rapel,601.0,Cachapoal Bajo,1970-01-21,1993-12-31,8381,-
6013005,DGA,dga_web,Popeta,480,-34.4369,-70.7794,60.0,Rio Rapel,601.0,Cachapoal Bajo,1970-03-03,1975-05-31,1858,-
6013001,DGA,dga_web,Rio Claro En Hacienda Las Nieves,720,-34.4922,-70.7028,60.0,Rio Rapel,601.0,Cachapoal Bajo,2013-07-08,2018-02-04,1673,2013-07-08
6013008,DGA,dga_web,Laguna Los Cristales,2343,-34.5606,-70.5097,60.0,Rio Rapel,601.0,Cachapoal Bajo,2013-03-28,2018-01-01,1333,2013-03-28
6028001,DGA,dga_web,Rio Tinguiririca Bajo Los Briones,560,-34.7186,-70.8267,60.0,Rio Rapel,602.0,Rio Tinguiririca Alto (Hasta Bajo Junta Rio Claro),2013-12-16,2018-02-04,1466,2013-12-16
7120002,DGA,dga_web,Laguna De Torca,28,-34.7675,-72.065,71.0,Rio Mataquito,712.0,Rio Mataquito,2014-01-01,2018-02-04,1328,2014-01-01
6034003,DGA,dga_web,Convento Viejo,239,-34.7694,-71.1331,60.0,Rio Rapel,603.0,Tinguiririca Bajo,1971-08-24,2017-02-22,7803,2017-02-22
6020001,DGA,dga_web,Termas Del Flaco,2650,-34.8911,-70.3297,60.0,Rio Rapel,602.0,Rio Tinguiririca Alto (Hasta Bajo Junta Rio Claro),1999-06-23,2018-02-04,1725,2017-01-01
7118003,DGA,dga_web,Curico,195,-34.9811,-71.2361,71.0,Rio Mataquito,711.0,Rio Lontue,2014-01-01,2018-02-04,1143,2014-01-01
7116005,DGA,dga_web,Potrero Grande,445,-35.1833,-71.0978,71.0,Rio Mataquito,711.0,Rio Lontue,1967-04-17,2018-02-04,7716,2014-01-01
7384002,DGA,dga_web,Constitucion,10,-35.3242,-72.4089,73.0,Rio Maule,738.0,Rio Maule Bajo,2013-12-20,2018-02-04,1432,2013-12-20
7381003,DGA,dga_web,Pencahue,55,-35.3725,-71.8325,73.0,Rio Maule,738.0,Rio Maule Bajo,1986-08-06,2018-02-04,3112,2014-01-01
7381002,DGA,dga_web,Fundo El Peral,110,-35.4006,-71.7833,73.0,Rio Maule,738.0,Rio Maule Bajo,1974-11-13,1986-06-28,3878,-
7378004,DGA,dga_web,Talca,110,-35.4194,-71.6606,73.0,Rio Maule,737.0,Rio Claro,2013-11-22,2016-01-01,224,2013-11-22
7378002,DGA,dga_web,Talca U.C.,130,-35.4358,-71.6197,73.0,Rio Maule,737.0,Rio Claro,1982-03-02,2018-02-04,5447,2014-01-01
7379002,DGA,dga_web,Rio Claro En Rauquen,64,-35.4525,-71.7333,73.0,Rio Maule,737.0,Rio Claro,1999-02-16,2018-02-04,5379,1999-02-16
7378003,DGA,dga_web,Colorado,420,-35.6381,-71.2606,73.0,Rio Maule,737.0,Rio Claro,1969-09-15,1993-12-31,8306,-
7320003,DGA,dga_web,Rio Claro En San Carlos,550,-35.6989,-71.0683,73.0,Rio Maule,736.0,Rio Maule Medio (Entre Rio Claro Y Rio Loncomilla),2014-01-01,2018-02-04,973,2014-01-01
7320002,DGA,dga_web,Armerillo,492,-35.7011,-71.0772,73.0,Rio Maule,732.0,Rio Maule Medio,2011-01-01,2018-02-04,2225,2011-01-01
7321002,DGA,dga_web,Rio Maule En Armerillo,470,-35.7061,-71.1139,73.0,Rio Maule,732.0,Rio Maule Medio,2000-01-01,2018-02-04,4020,2000-01-01
7306001,DGA,dga_web,Rio Cipreses En Dasague Laguna La Invernada,1300,-35.7381,-70.7778,73.0,Rio Maule,730.0,Rio Maule Alto (Hasta Antes Junta Rio Melado),2014-01-01,2018-01-23,938,2014-01-01
7303000,DGA,dga_web,Rio Maule En Los BaÑOs,980,-35.8197,-70.7606,73.0,Rio Maule,730.0,Rio Maule Alto (Hasta Antes Junta Rio Melado),2014-01-01,2018-02-04,936,2014-01-01
7358007,DGA,dga_web,Linares,157,-35.8381,-71.5953,73.0,Rio Maule,735.0,Rio Loncomilla,1976-07-28,1979-02-25,835,-
7317001,DGA,dga_web,Rio Melado En La Lancha Dga,650,-35.85,-71.0667,73.0,Rio Maule,731.0,Rio Melado,2002-09-28,2003-03-16,166,-
7317005,DGA,dga_web,Rio Melado En El Salto,730,-35.8842,-71.0192,73.0,Rio Maule,731.0,Rio Melado,2003-01-01,2018-02-04,3816,2003-01-01
7355007,DGA,dga_web,Ancoa Embalse,421,-35.9106,-71.2958,73.0,Rio Maule,735.0,Rio Loncomilla,1965-02-02,1993-12-31,9839,-
7301000,DGA,dga_web,Lo Aguirre,2000,-35.9697,-70.5719,73.0,Rio Maule,730.0,Rio Maule Alto,2000-01-04,2005-08-31,1956,-
7301001,DGA,dga_web,Los Condores,2172,-36.0106,-70.5589,73.0,Rio Maule,730.0,Rio Maule Alto,2014-01-01,2018-01-31,1179,2014-01-01
7345001,DGA,dga_web,Parral,175,-36.1878,-71.8283,73.0,Rio Maule,734.0,Perquilauquen Bajo,1975-10-15,2018-02-04,7763,2013-12-03
7331002,DGA,dga_web,Digua Embalse,390,-36.2558,-71.5481,73.0,Rio Maule,733.0,Perquilauquen Alto,1974-06-04,2018-02-04,7962,2013-12-14
7314002,DGA,dga_web,Guayquivilo,1200,-36.2933,-70.9181,73.0,Rio Maule,731.0,Rio Melado,1965-04-27,1972-07-02,2009,-
8113001,DGA,dga_web,Coihueco Embalse,314,-36.6408,-71.7989,81.0,Rio Itata,811.0,Nuble Bajo,1976-07-21,1993-12-31,5868,-
8105004,DGA,dga_web,Caracol,610,-36.6511,-71.395,81.0,Rio Itata,810.0,Nuble Alto,1987-06-30,1993-12-31,2270,-
8105003,DGA,dga_web,La Punilla,840,-36.6583,-71.3278,81.0,Rio Itata,810.0,Nuble Alto,1965-02-17,1986-10-14,6963,-
